Anuradha,1,E,Bahula Chavithi,WED,8-Apr-15,
Jyeshta,1,E,Bahula Panchami,THUS,9-Apr-15,
Moola,1,E,Bahula Shashti,FRI,10-Apr-15,
Poorva Aashada,1,E,Bahula Saptami,SAT,11-Apr-15,
Sravanam,2,B,Bahula Navami,MON,13-Apr-15,
Dhanishta,2,M,Bahula Dasami,TUE,14-Apr-15,
Sathabhisham,2,M,Bahula Ekadasi,WED,15-Apr-15,
Poorva Bhaadhra,2,M,Bahula Dwadasi,THUS,16-Apr-15,
Utthara Bhaadra,3,B,Bahula Chaturdhasi,FRI,17-Apr-15,
Revathi,3,M,Amaavaasya,SAT,18-Apr-15,
Bharani,3,E*,Suddha Vidhiya,MON,20-Apr-15,
Krutthika,4,B,Suddha Thadhiya,TUE,21-Apr-15,
Rohini,4,B,Suddha Chavithi,WED,22-Apr-15,
Mrugasira,4,M,Suddha Panchami,THUS,23-Apr-15,
Aardhra,4,B,Suddha Shashti,FRI,24-Apr-15,
Punarvasu,3,E,Suddha Saptami,SAT,25-Apr-15,
Aasleesha,3,M,Suddha Navami,MON,27-Apr-15,
Magha,3,B*,Suddha Dasami,TUE,28-Apr-15,
Poorva Phalguni,2,E,Suddha Ekadasi,WED,29-Apr-15,
Utthara Phalguni,2,M,Suddha Dwadasi,THUS,30-Apr-15,
Hastha,1,M,Suddha Thrayodasi,FRI,1-May-15,
Chitra,1,M,Suddha Thrayodasi,SAT,2-May-15,
Swathi,4,E,Poornima,MON,4-May-15,
Visakha,4,E,Bahula Padyami,TUE,5-May-15,
Anuradha,4,M,Bahula Vidhiya,WED,6-May-15,
Jyeshta,4,M,Bahula Thadhiya,THUS,7-May-15,
Moola,4,M,Bahula Chavithi,FRI,8-May-15,
Poorva Aashada,4,E,Bahula Panchami,SAT,9-May-15,
Sravanam,4,E*,Bahula Astami,MON,11-May-15,
Sathabhisham,1,B,Bahula Navami,TUE,12-May-15,
Poorva Bhaadhra,1,M,Bahula Dasami,WED,13-May-15,
Utthara Bhaadra,1,M,Bahula Ekadasi,THUS,14-May-15,
Revathi,2,B,Bahula Dwadasi,FRI,15-May-15,
Ashwani,2,M,Bahula Thrayodasi,SAT,16-May-15,
Krutthika,2,M,Amaavaasya,MON,18-May-15,
Rohini,2,E,Suddha Padyami,TUE,19-May-15,
Mrugasira,2,E,Suddha Vidhiya,WED,20-May-15,
Aardhra,2,E,Suddha Thadhiya,THUS,21-May-15,
Punarvasu,2,E,Suddha Chavithi,FRI,22-May-15,
Pushyami,2,M,Suddha Panchami,SAT,23-May-15,
Magha,2,B,Suddha Saptami,MON,25-May-15,
Poorva Phalguni,1,M,Suddha Astami,TUE,26-May-15,
Utthara Phalguni,1,B,Suddha Navami,WED,27-May-15,
Utthara Phalguni,4,E,Suddha Dasami,THUS,28-May-15,
Hastha,4,M,Suddha Ekadasi,FRI,29-May-15,
Chitra,4,B,Suddha Dwadasi,SAT,30-May-15,
Visakha,3,M,Suddha Chaturdhasi,MON,1-Jun-15,
Anuradha,3,M,Poornima,TUE,2-Jun-15,
Jyeshta,3,M,Bahula Padyami,WED,3-Jun-15,
Moola,3,B,Bahula Vidhiya,THUS,4-Jun-15,
Poorva Aashada,3,B,Bahula Thadhiya,FRI,5-Jun-15,
Utthara Aaashada,3,M,Bahula Chavithi,SAT,6-Jun-15,
Dhanishta,3,E,Bahula Shashti,MON,8-Jun-15,
Sathabhisham,3,M,Bahula Saptami,TUE,9-Jun-15,
Poorva Bhaadhra,4,M,Bahula Astami,WED,10-Jun-15,
Utthara Bhaadra,4,E,Bahula Navami,THUS,11-Jun-15,
Revathi,4,E,Bahula Ekadasi,FRI,12-Jun-15,
Bharani,1,B,Bahula Dwadasi,SAT,13-Jun-15,
Rohini,1,M,Bahula Chaturdhasi,MON,15-Jun-15,
Mrugasira,1,M,Amaavaasya,TUE,16-Jun-15,
Aardhra,1,M,Suddha Padyami,WED,17-Jun-15,
Punarvasu,1,M,Suddha Vidhiya,THUS,18-Jun-15,
Pushyami,1,B,Suddha Thadhiya,FRI,19-Jun-15,
Aasleesha,1,B,Suddha Chavithi,SAT,20-Jun-15,
Magha,4,M,Suddha Shashti,MON,22-Jun-15,
Poorva Phalguni,4,B*,Suddha Saptami,TUE,23-Jun-15,
Utthara Phalguni,3,M,Suddha Astami,WED,24-Jun-15,
Hastha,3,M,Suddha Navami,THUS,25-Jun-15,
Chitra,2,E,Suddha Dasami,FRI,26-Jun-15,
Swathi,2,M,Suddha Dasami,SAT,27-Jun-15,
Anuradha,2,B,Suddha Dwadasi,MON,29-Jun-15,
Jyeshta,1,E,Suddha Thrayodasi,TUE,30-Jun-15,
Moola,1,E,Suddha Chaturdhasi,WED,1-Jul-15,
Poorva Aashada,1,E,Poornima,THUS,2-Jul-15,
Utthara Aaashada,1,E*,Bahula Padyami,FRI,3-Jul-15,
Sravanam,2,B*,Bahula Thadhiya,SAT,4-Jul-15,
Sathabhisham,2,M,Bahula Panchami,MON,6-Jul-15,
Poorva Bhaadhra,2,E,Bahula Shashti,TUE,7-Jul-15,
Utthara Bhaadra,3,B,Bahula Saptami,WED,8-Jul-15,
Revathi,2,M,Bahula Astami,THUS,9-Jul-15,
Ashwani,3,M,Bahula Navami,FRI,10-Jul-15,
Bharani,3,E,Bahula Dasami,SAT,11-Jul-15,
Rohini,4,M,Bahula Dwadasi,MON,13-Jul-15,
Mrugasira,4,M,Bahula Thrayodasi,TUE,14-Jul-15,
Aardhra,4,M,Bahula Chaturdhasi,WED,15-Jul-15,
Punarvasu,4,B,Amaavaasya,THUS,16-Jul-15,
Pushyami,3,E,Suddha Padyami,FRI,17-Jul-15,
Aasleesha,3,E,Suddha Vidhiya,SAT,18-Jul-15,
Poorva Phalguni,2,E*,Suddha Chavithi,MON,20-Jul-15,
Utthara Phalguni,2,M,Suddha Panchami,TUE,21-Jul-15,
Hastha,1,E,Suddha Shashti,WED,22-Jul-15,
Chitra,2,B*,Suddha Saptami,THUS,23-Jul-15,
Swathi,1,M,Suddha Astami,FRI,24-Jul-15,
Visakha,1,B,Suddha Navami,SAT,25-Jul-15,
Anuradha,4,E,Suddha Ekadasi,MON,27-Jul-15,
Jyeshta,4,M,Suddha Dwadasi,TUE,28-Jul-15,
Moola,4,M,Suddha Thrayodasi,WED,29-Jul-15,
Poorva Aashada,4,M,Suddha Chaturdhasi,THUS,30-Jul-15,
Utthara Aaashada,4,E,Poornima,FRI,31-Jul-15,
Sravanam,4,E,Bahula Padyami,SAT,1-Aug-15,
Poorva Bhaadhra,1,B,Bahula Thadhiya,MON,3-Aug-15,
Utthara Bhaadra,1,E,Bahula Chavithi,TUE,4-Aug-15,
Revathi,1,E*,Bahula Shashti,WED,5-Aug-15,
Ashwani,2,B,Bahula Saptami,THUS,6-Aug-15,
Bharani,2,M,Bahula Astami,FRI,7-Aug-15,
Krutthika,2,M,Bahula Navami,SAT,8-Aug-15,
Mrugasira,2,E*,Bahula Ekadasi,MON,10-Aug-15,
Aardhra,2,E*,Bahula Dwadasi,TUE,11-Aug-15,
Punarvasu,2,E,Bahula Thrayodasi,WED,12-Aug-15,
Pushyami,2,E,Bahula Chaturdhasi,THUS,13-Aug-15,
Aasleesha,2,M,Amaavaasya,FRI,14-Aug-15,
Magha,2,M,Suddha Padyami,SAT,15-Aug-15,
Utthara Phalguni,1,M,Suddha Thadhiya,MON,17-Aug-15,
Hastha,1,B,Suddha Chavithi,TUE,18-Aug-15,
Hastha,4,E,Suddha Panchami,WED,19-Aug-15,
Chitra,4,M,Suddha Shashti,THUS,20-Aug-15,
Swathi,3,E*,Suddha Shashti,FRI,21-Aug-15,
Visakha,3,E,Suddha Saptami,SAT,22-Aug-15,
Jyeshta,3,M,Suddha Navami,MON,24-Aug-15,
Moola,3,M,Suddha Dasami,TUE,25-Aug-15,
Poorva Aashada,3,M,Suddha Ekadasi,WED,26-Aug-15,
Utthara Aaashada,3,M,Suddha Dwadasi,THUS,27-Aug-15,
Sravanam,3,M,Suddha Chaturdhasi,FRI,28-Aug-15,
Dhanishta,3,E,Poornima,SAT,29-Aug-15,
Poorva Bhaadhra,4,B,Bahula Vidhiya,MON,31-Aug-15,
Utthara Bhaadra,4,M,Bahula Thadhiya,TUE,1-Sep-15,
Revathi,4,E,Bahula Chavithi,WED,2-Sep-15,
Bharani,1,B*,Bahula Panchami,THUS,3-Sep-15,
Krutthika,1,B,Bahula Shashti,FRI,4-Sep-15,
Rohini,1,M,Bahula Saptami,SAT,5-Sep-15,
Aardhra,1,M,Bahula Navami,MON,7-Sep-15,
Punarvasu,2,B,Bahula Dasami,TUE,8-Sep-15,
Pushyami,1,M,Bahula Ekadasi,WED,9-Sep-15,
Aasleesha,1,B,Bahula Dwadasi,THUS,10-Sep-15,
Magha,1,B,Bahula Thrayodasi,FRI,11-Sep-15,
Magha,4,E,Bahula Chaturdhasi,SAT,12-Sep-15,
Utthara Phalguni,4,B*,Suddha Padyami,MON,14-Sep-15,
Hastha,3,M,Suddha Vidhiya,TUE,15-Sep-15,
Chitra,3,B,Suddha Thadhiya,WED,16-Sep-15,
Swathi,2,E,Suddha Chavithi,THUS,17-Sep-15,
Visakha,2,M,Suddha Panchami,FRI,18-Sep-15,
Anuradha,2,M,Suddha Shashti,SAT,19-Sep-15,
Moola,2,B,Suddha Astami,MON,21-Sep-15,
Poorva Aashada,1,E*,Suddha Navami,TUE,22-Sep-15,
Utthara Aaashada,1,E*,Suddha Dasami,WED,23-Sep-15,
Sravanam,2,B*,Suddha Ekadasi,THUS,24-Sep-15,
Dhanishta,2,B,Suddha Dwadasi,FRI,25-Sep-15,
Sathabhisham,2,M,Suddha Thrayodasi,SAT,26-Sep-15,
Utthara Bhaadra,3,B*,Poornima,MON,28-Sep-15,
Revathi,3,M,Bahula Padyami,TUE,29-Sep-15,
Ashwani,3,M,Bahula Thadhiya,WED,30-Sep-15,
Bharani,3,M,Bahula Chavithi,THUS,1-Oct-15,
Krutthika,4,B,Bahula Panchami,FRI,2-Oct-15,
Rohini,4,B,Bahula Shashti,SAT,3-Oct-15,
Aardhra,4,M,Bahula Astami,MON,5-Oct-15,
Punarvasu,4,M,Bahula Navami,TUE,6-Oct-15,
Pushyami,4,M,Bahula Dasami,WED,7-Oct-15,
Aasleesha,3,E*,Bahula Ekadasi,THUS,8-Oct-15,
Magha,3,M,Bahula Dwadasi,FRI,9-Oct-15,
Poorva Phalguni,3,M,Bahula Thrayodasi,SAT,10-Oct-15,
Hastha,2,M,Amaavaasya,MON,12-Oct-15,
Chitra,2,M,Suddha Padyami,TUE,13-Oct-15,
Swathi,2,B*,Suddha Padyami,WED,14-Oct-15,
Visakha,1,M,Suddha Vidhiya,THUS,15-Oct-15,
Anuradha,1,B,Suddha Thadhiya,FRI,16-Oct-15,
Anuradha,4,E*,Suddha Chavithi,SAT,17-Oct-15,
Moola,4,E,Suddha Shashti,MON,19-Oct-15,
Poorva Aashada,4,E,Suddha Saptami,TUE,20-Oct-15,
Utthara Aaashada,4,E,Suddha Astami,WED,21-Oct-15,
Sravanam,4,E*,Suddha Navami,THUS,22-Oct-15,
Sathabhisham,1,B,Suddha Ekadasi,FRI,23-Oct-15,
Poorva Bhaadhra,1,B,Suddha Dwadasi,SAT,24-Oct-15,
Revathi,1,E*,Suddha Chaturdhasi,MON,26-Oct-15,
Ashwani,2,B,Poornima,TUE,27-Oct-15,
Bharani,2,M,Bahula Padyami,WED,28-Oct-15,
Krutthika,2,M,Bahula Vidhiya,THUS,29-Oct-15,
Rohini,2,B*,Bahula Thadhiya,FRI,30-Oct-15,
Mrugasira,3,B*,Bahula Chavithi,SAT,31-Oct-15,
Punarvasu,3,B*,Bahula Shashti,MON,2-Nov-15,
Pushyami,2,E*,Bahula Saptami,TUE,3-Nov-15,
Aasleesha,2,E,Bahula Astami,WED,4-Nov-15,
Magha,2,M,Bahula Navami,THUS,5-Nov-15,
Poorva Phalguni,2,M,Bahula Dasami,FRI,6-Nov-15,
Utthara Phalguni,1,E*,Bahula Ekadasi,SAT,7-Nov-15,
Chitra,1,B,Bahula Thrayodasi,MON,9-Nov-15,
Chitra,4,E,Bahula Chaturdhasi,TUE,10-Nov-15,
Swathi,4,M,Amaavaasya,WED,11-Nov-15,
Visakha,4,B*,Suddha Padyami,THUS,12-Nov-15,
Anuradha,3,E,Suddha Vidhiya,FRI,13-Nov-15,
Jyeshta,3,E,Suddha Thadhiya,SAT,14-Nov-15,
Poorva Aashada,3,B*,Suddha Panchami,MON,16-Nov-15,
Utthara Aaashada,3,M,Suddha Shashti,TUE,17-Nov-15,
Sravanam,3,M,Suddha Saptami,WED,18-Nov-15,
Dhanishta,3,M,Suddha Astami,THUS,19-Nov-15,
Sathabhisham,3,E*,Suddha Navami,FRI,20-Nov-15,
